generation,reward,accuracy
1,65,100.0
2,85,100.0
3,60,33.33
4,-15,25.0
5,20,40.0
6,-10,33.33
7,100,100.0
8,-50,12.5
9,20,55.56
10,60,70.0
11,70,81.82
12,5,33.33
13,70,84.62
14,-50,14.29
15,-105,6.67
16,95,93.75
17,-20,23.53
18,15,44.44
19,85,89.47
20,25,55.0
21,60,66.67
22,50,54.55
23,110,100.0
24,115,100.0
25,90,84.0
26,-25,15.38
27,-120,3.7
28,80,75.0
29,30,48.28
30,40,50.0
31,-50,16.13
32,65,68.75
33,25,45.45
34,60,64.71
35,-60,8.57
36,-30,19.44
37,35,51.35
38,60,68.42
39,120,100.0
40,45,52.5
41,5,31.71
42,20,40.48
43,45,55.81
44,90,88.64
45,-15,24.44
46,35,50.0
47,50,59.57
48,15,33.33
49,-65,6.12
50,100,94.0
51,45,56.86
52,-45,15.38
53,45,58.49
54,35,50.0
1,-35,100.0
2,-30,100.0
3,60,100.0
4,105,100.0
5,60,80.0
6,35,50.0
7,-70,14.29
8,40,62.5
9,85,88.89
1,-45,100.0
2,-5,100.0
3,-25,66.67
